id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety
2772-P,1,2030.116648872383,SEDNW,Los Angeles,California,Australia,National Pumpkin Festival,1391 B,1179 U,470,1998,0,Lumina
2697-P,62,1981.1865412490442,FZSIA,Nottingham,New York,China,National Pumpkin Festival,1769 P,1591 S,451,1807,12,Jarrahdale
2651-P,76,1895.8081342848018,OIWYI,Chicago,California,Australia,National Pumpkin Festival,1595 H,1494 L,445,1747,13,Long Island Cheese
2998-P,84,1874.9305954882875,SKTVR,Houston,New York,Canada,Local Pumpkin Festival,1996 U,1515 R,436,1670,14,Knucklehead
2547-P,66,1805.735046846792,DQKAD,Chicago,New York,UK,National Pumpkin Festival,1825 B,1528 Q,431,1611,11,Lumina
2697-P,96,1787.8059727875516,CDKYS,Paris,New York,USA,National Pumpkin Festival,1688 I,1819 P,436,1617,7,Lumina
2999-P,87,1781.578547555022,CKLHR,Houston,Florida,UK,Regional Pumpkin Festival,1376 X,1882 N,445,1741,7,Long Island Cheese
2874-P,62,1780.826292200014,KAJUR,Paris,New York,China,National Pumpkin Festival,1741 W,1454 T,434,1647,12,Long Island Cheese
2990-P,36,1780.7730339262635,OZMCB,Paris,Texas,Mexico,Regional Pumpkin Festival,1351 N,1471 U,425,1548,18,Jarrahdale
2391-P,68,1769.186351891607,EHYSK,Nottingham,New York,France,Regional Pumpkin Festival,1641 Q,1150 E,421,1570,13,Knucklehead
2787-P,85,1749.7814863134176,OOCRL,New York,Florida,Canada,Regional Pumpkin Festival,1180 U,1957 G,445,1697,4,Lumina
2329-P,88,1740.0541719570756,ZQFEN,New York,New York,Canada,Regional Pumpkin Festival,1510 D,1534 Y,418,1518,19,Knucklehead
2182-P,79,1737.6965907942504,JDTOM,Nottingham,California,Mexico,Local Pumpkin Festival,1278 T,1140 F,429,1614,3,Knucklehead
2679-P,75,1727.868304069154,ZCRVU,Nottingham,New York,UK,Regional Pumpkin Festival,1262 Q,1064 F,432,1589,13,Knucklehead
2559-P,15,1687.4609579734504,EQQOO,Los Angeles,New York,Canada,Regional Pumpkin Festival,1392 H,1221 O,435,1671,3,Knucklehead
2103-P,68,1689.5571909584105,IAVXL,Paris,Texas,China,National Pumpkin Festival,1449 G,1126 E,427,1564,3,Knucklehead
2135-P,89,1665.2094177147374,ZYVIU,Chicago,California,China,Local Pumpkin Festival,1063 I,1582 E,446,1725,-4,Long Island Cheese
2036-P,58,1662.2219233363867,EGJUP,Nottingham,Florida,China,Regional Pumpkin Festival,1837 D,1059 G,406,1422,13,Lumina
2449-P,38,1649.7010322948918,TCYHO,Houston,Texas,USA,Local Pumpkin Festival,1015 J,1417 R,420,1503,7,Long Island Cheese
2924-P,42,1648.6037670746446,IZNXS,Chicago,California,USA,Local Pumpkin Festival,1850 E,1342 Z,423,1533,12,Knucklehead
2619-P,65,1618.40149894543,TNTIG,Los Angeles,Florida,Mexico,National Pumpkin Festival,1656 U,1880 D,406,1434,19,Knucklehead
2260-P,76,1607.6114487610757,SWWTC,Chicago,Texas,Mexico,Regional Pumpkin Festival,1082 R,1125 Z,423,1534,-1,Long Island Cheese
2999-P,99,1593.0876931250095,KNMDF,Chicago,Florida,USA,Regional Pumpkin Festival,1281 I,1034 K,431,1626,-3,Lumina
2164-P,93,1568.8364170975983,SLXLY,Nottingham,Florida,France,Regional Pumpkin Festival,1142 S,1654 A,406,1448,13,Knucklehead
2648-P,75,1567.0304295383394,VPNWJ,Paris,California,USA,Local Pumpkin Festival,1172 O,1292 U,424,1538,0,Knucklehead
2392-P,31,1564.8577437316999,ZHPFT,Nottingham,Florida,China,Local Pumpkin Festival,1278 N,1696 V,397,1288,18,Lumina
2255-P,46,1563.8317304486409,WBCKG,Nottingham,New York,Canada,Local Pumpkin Festival,1486 R,1206 K,419,1503,8,Jarrahdale
2887-P,21,1557.592970950529,QLYRM,Nottingham,Texas,UK,Local Pumpkin Festival,1836 R,1604 O,417,1480,3,Jarrahdale
2373-P,14,1557.2029490852728,TVQBB,Chicago,New York,USA,Local Pumpkin Festival,1161 J,1326 C,406,1384,10,Long Island Cheese
2273-P,81,1550.8215848766267,YAUKA,Chicago,Florida,Mexico,National Pumpkin Festival,1785 L,1382 U,412,1485,8,Jarrahdale
2911-P,18,1539.4959327429533,HJBEY,Paris,Texas,UK,National Pumpkin Festival,1302 U,1904 I,425,1616,-7,Long Island Cheese
2920-P,31,1545.1374792447314,CXEJM,Paris,Texas,UK,Regional Pumpkin Festival,1976 L,1851 S,410,1439,8,Long Island Cheese
2011-P,34,1538.6408577775583,RQDXL,Paris,New York,Australia,National Pumpkin Festival,1507 K,1373 A,411,1436,5,Lumina
2551-P,81,1541.973288611509,TPSUM,Chicago,Texas,UK,Regional Pumpkin Festival,1296 Z,1711 G,415,1487,-1,Lumina
2533-P,33,1530.9596546346322,XPMDK,Chicago,California,UK,Regional Pumpkin Festival,1332 I,1862 M,412,1430,7,Lumina
2955-P,32,1526.6052863821387,EDKMN,Chicago,Texas,Canada,Local Pumpkin Festival,1700 H,1412 T,404,1423,6,Lumina
2946-P,54,1534.2657239334658,MGCVG,Chicago,New York,France,National Pumpkin Festival,1216 B,1935 O,400,1339,11,Knucklehead
2069-P,28,1537.934674997814,RCXHM,Chicago,California,Mexico,Regional Pumpkin Festival,1346 I,1294 L,404,1431,11,Knucklehead
2295-P,63,1537.8736060354859,CUDYK,Paris,California,Australia,Local Pumpkin Festival,1634 Q,1807 Y,413,1485,6,Jarrahdale
2014-P,33,1527.947385375388,FCJYN,Chicago,New York,Australia,National Pumpkin Festival,1350 M,1628 R,423,1518,-1,Long Island Cheese
2329-P,9,1518.3854287713766,INIDC,Nottingham,New York,UK,National Pumpkin Festival,1201 C,1988 L,416,1519,1,Jarrahdale
2074-P,20,1511.239302684553,TMIFA,Chicago,Texas,China,National Pumpkin Festival,1225 R,1613 D,423,1546,-1,Jarrahdale
2540-P,78,1521.0364753855392,EWOKJ,Paris,Florida,USA,National Pumpkin Festival,1804 P,1420 N,436,1705,-12,Knucklehead
2854-P,57,1510.820087579079,PFKOG,Nottingham,New York,Canada,Local Pumpkin Festival,1549 I,1825 Y,413,1427,11,Knucklehead
2130-P,22,1501.52573440969,UPSBS,Houston,Texas,USA,Local Pumpkin Festival,1379 I,1868 T,419,1536,2,Long Island Cheese
2061-P,50,1501.5443615959957,QYBYM,Los Angeles,California,USA,Local Pumpkin Festival,1657 G,1992 U,407,1383,6,Lumina
